LUGAR,Latitude (deg) (y),Longitude (deg) (x),Error (meters),Line of sight (deg),Elevation (meters) (z),Notes,Latitude (dec) (y),Longitude (dec) (x)
North Side,,,,,,,,
Marker 1,S   11 46 32.4,W   76 34 52.3,3,105 E,3881,head with red lichen looking at PG,-11.775667,-76.581194
Marker 2,S   11 46 34.5,W   76 34 54.4,4,69 NE,3887,hooded figure in front of Scarface,-11.77625,-76.581778
Marker 3,S   11 46 32.6,W   76 34 57.0,5,90 E,3863,,-11.775722,-76.5825
Marker 4 ,S   11 46 31.2 ,W   76 34 55.6,6,120 SE,3863,,-11.775333,-76.582111
Marker 5,S   11 46 28.9,W   76 34 52.9,3,45 NE,3870,rock with seat in front of Two Brothers,-11.774694,-76.581361
Half rock,S   11 46 28.9,W   76 35 02.0,6,N/A,3871,beyond the big turtle almost at edge,-11.774694,-76.583944
Altar,S   11 46 27.0,W   76 35 03.8,4,N/A,3872,,-11.774167,-76.584389
Turban,S   11 46 36.7,W   76 34 51.9,3,225 SW,3910,,-11.776861,-76.581083
African lion,S   11 46 25.1,W   76 34 57.3,4,N/A,3896,,-11.773639,-76.582583
Llama ,S   11 46 30.1,W   76 34 50.7,3,270W,3880,,-11.775028,-76.58075
Pecca Gasha,S   11 46 32.6,W   76 34 51.1,3,180 S,3895,LOS 186 for second face looking S,-11.775722,-76.580861
Bird,S   11 46 32.0,W   76 34 50.3,3,39 NE,3892,,-11.775556,-76.580639
Scarface,S   11 46 34.8,W   76 34 53.9,6,319 NW,3896,this rock has deep grooves all along face,-11.776333,-76.581639
Two brothers,S   11 46 28.2,W   76 34 50.7,5,N/A,3873,did not have the light to define eyes,-11.7745,-76.58075
Cone,S   11 46 33.4,W   76 34 50.7,6,360N,3891,,-11.775944,-76.58075
,,,,,,,,
,,,,,,,,